"x1","x2","y"
0.18722862448067823,0.4190686408624468,-1
0.09074822061663967,0.0033671948851095035,-1
0.47699620491005756,0.9734635355854262,-1
0.4093113170956182,0.3530744315301295,-1
0.13354311029359045,0.7936239165671757,-1
0.5059312814228492,0.7123852464803024,1
0.1852593418308699,0.8987839461133569,-1
0.12696236203390177,0.19362607788005226,-1
0.5115125608958768,0.4592446653420146,1
0.5548522352112282,0.2834505596100627,1
0.7887722997781845,0.9543515791353976,-1
0.008928398534175708,0.5356131789026235,-1
0.11224566567519911,0.6059690277784717,-1
0.5677534936266915,0.5579950566672502,1
0.32972435201892814,0.8382461035780377,-1
0.7745016467323627,0.9055787460561662,1
0.7141503697417684,0.22511525982161107,1
0.8461263062753117,0.9157121830117061,1
0.4477999218925446,0.11873539785786225,-1
0.6498386320232232,0.20730156071351735,1
0.8112401870134123,0.052119798061758926,1
0.17225292980954476,0.37622170604827776,-1
0.1310876128740861,0.07737348520747633,-1
0.23977470384685984,0.6743961721812501,-1
0.8620552155456318,0.08230453231130319,1
0.6168169729354995,0.4444366786557781,1
0.8073847810969739,0.6268734061877437,1
0.732945039795937,0.11676777339881217,1
0.7926804953787896,0.9719037126679562,-1
0.7902447635688281,0.4345322880299747,1
0.9070972188021733,0.9674959133677152,1
0.9564595719615976,0.18068682081295662,1
0.7743637356513311,0.7561974088401306,1
0.6330635616102764,0.7649423601970258,1
0.08018814561713472,0.6855722731697431,-1
0.3409693912399343,0.6939473379701933,-1
0.8957548860835056,0.8958173171222925,1
0.2856881694212472,0.3232614554799742,-1
0.986562005630016,0.41178921455235873,1
0.6719324173648715,0.3755652522419828,1
0.5637808229295573,0.0007051219744060866,-1
0.920626240831357,0.7967622765685005,1
0.610641004671979,0.7197110467285028,1
0.2967634517007849,0.8616312040200822,1
0.7102743622376013,0.4243372634723719,1
0.1639560604317254,0.5855294547248859,-1
0.48572450079348917,0.572627666985777,1
0.7610692540515258,0.1268396729955268,1
0.07391623719690577,0.11814213403870966,-1
0.6692014575225622,0.6656160104283275,1
0.6132906975268135,0.4447016770977814,1
0.07103912638725829,0.007989330785664439,-1
0.2619216747393056,0.14259026095501226,-1
0.7511797253792356,0.13977425546142386,1
0.23472299212457348,0.915447692852823,-1
0.33688457587353504,0.5267844821559042,-1
0.2282033063113602,0.32508436315824163,-1
0.029018117701395285,0.5747697664972051,-1
0.26787927248254384,0.4236807201123409,-1
0.6129599047779279,0.9176609009415841,-1
0.6769475501309818,0.6508441989325149,1
0.9960006753739816,0.1785196339182038,1
0.4428677933167855,0.9734086447960153,-1
